#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  4.95397355e-02   0.00000000e+00   2.23780597e+00  -1.96144798e-05   6.37122598e-01  -4.52357665e+01  -4.54170741e+00   2.78776306e-02
  5.04925078e-02   0.00000000e+00   2.23787342e+00  -2.03686056e-05   6.24895935e-01  -4.43840966e+01  -4.54170173e+00   2.78692946e-02
  5.14636043e-02   0.00000000e+00   2.23794350e+00  -2.11514194e-05   6.12896126e-01  -4.35485339e+01  -4.54169583e+00   2.78606375e-02
  5.24533775e-02   0.00000000e+00   2.23801629e+00  -2.19639882e-05   6.01118820e-01  -4.27287753e+01  -4.54168970e+00   2.78516473e-02
  5.34621864e-02   0.00000000e+00   2.23809190e+00  -2.28074171e-05   5.89559748e-01  -4.19245233e+01  -4.54168334e+00   2.78423112e-02
  5.44903972e-02   0.00000000e+00   2.23817045e+00  -2.36828499e-05   5.78214719e-01  -4.11354859e+01  -4.54167673e+00   2.78326160e-02
  5.55383831e-02   0.00000000e+00   2.23825205e+00  -2.45914704e-05   5.67079621e-01  -4.03613769e+01  -4.54166988e+00   2.78225480e-02
  5.66065244e-02   0.00000000e+00   2.23833680e+00  -2.55345043e-05   5.56150420e-01  -3.96019152e+01  -4.54166276e+00   2.78120930e-02
  5.76952087e-02   0.00000000e+00   2.23842485e+00  -2.65132194e-05   5.45423153e-01  -3.88568254e+01  -4.54165537e+00   2.78012365e-02
  5.88048310e-02   0.00000000e+00   2.23851631e+00  -2.75289277e-05   5.34893934e-01  -3.81258369e+01  -4.54164770e+00   2.77899630e-02
  5.99357942e-02   0.00000000e+00   2.23861131e+00  -2.85829865e-05   5.24558948e-01  -3.74086844e+01  -4.54163974e+00   2.77782568e-02
  6.10885086e-02   0.00000000e+00   2.23871000e+00  -2.96767993e-05   5.14414452e-01  -3.67051078e+01  -4.54163147e+00   2.77661014e-02
  6.22633926e-02   0.00000000e+00   2.23881252e+00  -3.08118177e-05   5.04456770e-01  -3.60148516e+01  -4.54162289e+00   2.77534799e-02
  6.34608725e-02   0.00000000e+00   2.23891901e+00  -3.19895424e-05   4.94682298e-01  -3.53376654e+01  -4.54161399e+00   2.77403747e-02
  6.46813830e-02   0.00000000e+00   2.23902962e+00  -3.32115247e-05   4.85087494e-01  -3.46733033e+01  -4.54160475e+00   2.77267674e-02
  6.59253669e-02   0.00000000e+00   2.23914453e+00  -3.44793678e-05   4.75668886e-01  -3.40215243e+01  -4.54159516e+00   2.77126390e-02
  6.71932757e-02   0.00000000e+00   2.23926389e+00  -3.57947282e-05   4.66423065e-01  -3.33820919e+01  -4.54158520e+00   2.76979700e-02
  6.84855695e-02   0.00000000e+00   2.23938787e+00  -3.71593170e-05   4.57346685e-01  -3.27547739e+01  -4.54157487e+00   2.76827399e-02
  6.98027174e-02   0.00000000e+00   2.23951666e+00  -3.85749017e-05   4.48436461e-01  -3.21393426e+01  -4.54156415e+00   2.76669277e-02
  7.11451973e-02   0.00000000e+00   2.23965044e+00  -4.00433067e-05   4.39689171e-01  -3.15355749e+01  -4.54155302e+00   2.76505115e-02
  7.25134964e-02   0.00000000e+00   2.23978940e+00  -4.15664158e-05   4.31101651e-01  -3.09432514e+01  -4.54154148e+00   2.76334685e-02
  7.39081113e-02   0.00000000e+00   2.23993375e+00  -4.31461727e-05   4.22670797e-01  -3.03621572e+01  -4.54152950e+00   2.76157754e-02
  7.53295481e-02   0.00000000e+00   2.24008369e+00  -4.47845826e-05   4.14393561e-01  -2.97920815e+01  -4.54151708e+00   2.75974077e-02
  7.67783227e-02   0.00000000e+00   2.24023944e+00  -4.64837138e-05   4.06266953e-01  -2.92328173e+01  -4.54150418e+00   2.75783403e-02
  7.82549609e-02   0.00000000e+00   2.24040122e+00  -4.82456985e-05   3.98288037e-01  -2.86841616e+01  -4.54149080e+00   2.75585470e-02
  7.97599984e-02   0.00000000e+00   2.24056926e+00  -5.00727348e-05   3.90453933e-01  -2.81459154e+01  -4.54147693e+00   2.75380009e-02
  8.12939816e-02   0.00000000e+00   2.24074382e+00  -5.19670871e-05   3.82761812e-01  -2.76178832e+01  -4.54146253e+00   2.75166739e-02
  8.28574671e-02   0.00000000e+00   2.24092513e+00  -5.39310878e-05   3.75208901e-01  -2.70998734e+01  -4.54144760e+00   2.74945370e-02
  8.44510223e-02   0.00000000e+00   2.24111346e+00  -5.59671383e-05   3.67792475e-01  -2.65916981e+01  -4.54143211e+00   2.74715602e-02
  8.60752255e-02   0.00000000e+00   2.24130908e+00  -5.80777101e-05   3.60509861e-01  -2.60931727e+01  -4.54141605e+00   2.74477124e-02
  8.77306662e-02   0.00000000e+00   2.24151227e+00  -6.02653457e-05   3.53358436e-01  -2.56041163e+01  -4.54139939e+00   2.74229615e-02
  8.94179452e-02   0.00000000e+00   2.24172333e+00  -6.25326596e-05   3.46335625e-01  -2.51243515e+01  -4.54138211e+00   2.73972741e-02
  9.11376747e-02   0.00000000e+00   2.24194255e+00  -6.48823389e-05   3.39438901e-01  -2.46537040e+01  -4.54136419e+00   2.73706159e-02
  9.28904789e-02   0.00000000e+00   2.24217026e+00  -6.73171442e-05   3.32665784e-01  -2.41920030e+01  -4.54134562e+00   2.73429513e-02
  9.46769938e-02   0.00000000e+00   2.24240678e+00  -6.98399100e-05   3.26013841e-01  -2.37390811e+01  -4.54132636e+00   2.73142434e-02
  9.64978679e-02   0.00000000e+00   2.24265244e+00  -7.24535452e-05   3.19480682e-01  -2.32947736e+01  -4.54130639e+00   2.72844540e-02
  9.83537620e-02   0.00000000e+00   2.24290760e+00  -7.51610333e-05   3.13063964e-01  -2.28589195e+01  -4.54128569e+00   2.72535439e-02
  1.00245349e-01   0.00000000e+00   2.24317264e+00  -7.79654326e-05   3.06761387e-01  -2.24313604e+01  -4.54126424e+00   2.72214723e-02
  1.02173317e-01   0.00000000e+00   2.24344791e+00  -8.08698758e-05   3.00570694e-01  -2.20119413e+01  -4.54124201e+00   2.71881971e-02
  1.04138364e-01   0.00000000e+00   2.24373383e+00  -8.38775698e-05   2.94489670e-01  -2.16005097e+01  -4.54121896e+00   2.71536748e-02
  1.06141204e-01   0.00000000e+00   2.24403080e+00  -8.69917954e-05   2.88516141e-01  -2.11969164e+01  -4.54119508e+00   2.71178605e-02
  1.08182563e-01   0.00000000e+00   2.24433924e+00  -9.02159060e-05   2.82647977e-01  -2.08010148e+01  -4.54117034e+00   2.70807078e-02
  1.10263183e-01   0.00000000e+00   2.24465960e+00  -9.35533266e-05   2.76883083e-01  -2.04126613e+01  -4.54114471e+00   2.70421688e-02
  1.12383818e-01   0.00000000e+00   2.24499233e+00  -9.70075528e-05   2.71219409e-01  -2.00317149e+01  -4.54111815e+00   2.70021940e-02
  1.14545239e-01   0.00000000e+00   2.24533792e+00  -1.00582148e-04   2.65654940e-01  -1.96580372e+01  -4.54109065e+00   2.69607324e-02
